metric,n,k,rule,precision,recall,f1,mcc,coverage,lift
활동일 수,3,2,활동일 수 >= 2 / 3일,0.4847240051347882,0.4421545667447307,0.4624617268830373,0.3021352819908913,0.22021823938485893,2.0078017514798594
세션 수,3,2,세션 수 >= 2 / 3일,0.4193832599118943,0.5573770491803278,0.47863247863247865,0.285836402153771,0.32085712670322836,1.7371502852603453
세션 수,3,3,세션 수 >= 3 / 3일,0.5270633397312859,0.3215456674473068,0.39941818181818184,0.277402673811351,0.14728331542941142,2.1831778196316756
세션 수,3,4,세션 수 >= 4 / 3일,0.6140710382513661,0.21053864168618266,0.3135681897453784,0.2615890281458749,0.08277265788432182,2.5435771553985744
조회 수,3,5,조회 수 >= 5 / 3일,0.39112124934198983,0.5220140515222482,0.4471862774601264,0.24119215786230275,0.32221405552100413,1.6200846691128277
조회 수,3,10,조회 수 >= 10 / 3일,0.47137014314928427,0.32388758782201404,0.38395335924486396,0.2396269279027599,0.16588454797308758,1.9524879910729254
활동일 수,3,3,활동일 수 >= 3 / 3일,0.6794717887154862,0.1325526932084309,0.22183029590436998,0.22756671605017867,0.04709673771696726,2.814477172602062
조회 수,3,3,조회 수 >= 3 / 3일,0.3369345838774783,0.6646370023419204,0.4471756086031671,0.21282135158282456,0.4762254763385537,1.3956351253023325
조회 수,3,20,조회 수 >= 20 / 3일,0.56304520222046,0.16627634660421545,0.25673476767311515,0.2082350800748298,0.07129530163396845,2.3322202556611886
카테고리 수,3,2,카테고리 수 >= 2 / 3일,0.34255253399258345,0.5192037470725995,0.4127722956618879,0.17952376593457853,0.365918471193532,1.4189055430273592
세션 수,1,2,세션 수 >= 2 / 1일,0.4021249195106246,0.29250585480093677,0.33866594360086766,0.17331976411729605,0.1756092045004806,1.665663571752791
카테고리 수,3,3,카테고리 수 >= 3 / 3일,0.407735982966643,0.26908665105386415,0.3242099322799097,0.16919030391494033,0.15932605868717137,1.688905463871432
조회 수,1,5,조회 수 >= 5 / 1일,0.36391775370329427,0.38548009367681496,0.37438871829864667,0.167787311929169,0.2557245434499915,1.5074035854215846
세션 수,1,3,세션 수 >= 3 / 1일,0.5168855534709194,0.12903981264637002,0.20652173913043478,0.163015709009132,0.06027025498954034,2.1410198557939464
조회 수,1,10,조회 수 >= 10 / 1일,0.4264919941775837,0.20585480093676814,0.2776812509872058,0.15706077176793248,0.11652626222649404,1.7665957613627454
조회 수,1,3,조회 수 >= 3 / 1일,0.31718426501035196,0.5381733021077283,0.3991315675206253,0.14746971737812617,0.4096228868660598,1.3138262518122004
세션 수,1,4,세션 수 >= 4 / 1일,0.5973741794310722,0.06393442622950819,0.11550666384599112,0.13546333975588698,0.025838186238480238,2.474416185385802
조회 수,1,20,조회 수 >= 20 / 1일,0.5059602649006623,0.08946135831381732,0.15203980099502487,0.13053387917183965,0.04268671905919602,2.095765621849652
카트 수,3,1,카트 수 >= 1 / 3일,0.38885630498533724,0.15526932084309134,0.2219246861924686,0.11252858356535815,0.09639848476282015,1.6107029195024964
카테고리 수,1,2,카테고리 수 >= 2 / 1일,0.3121091529277999,0.38571428571428573,0.3450298523096261,0.10771381626047444,0.2983547238084469,1.292804353122716
카트 수,3,2,카트 수 >= 2 / 3일,0.4550408719346049,0.07822014051522248,0.1334932054356515,0.10386768402466912,0.04149940634364222,1.884849625739428
카테고리 수,1,3,카테고리 수 >= 3 / 1일,0.36287952987267386,0.17353629976580795,0.23479087452471484,0.10253763768037708,0.11545202691242155,1.503103101840277
카트 수,3,3,카트 수 >= 3 / 3일,0.4843304843304843,0.03981264637002342,0.07357714780350573,0.0807676499374986,0.0198450839599706,2.0061717274832027
카트 수,1,1,카트 수 >= 1 / 1일,0.3582089552238806,0.1180327868852459,0.17755856966707767,0.08022933869830194,0.07954995194210437,1.4837568597294557
카트 수,3,5,카트 수 >= 5 / 3일,0.5769230769230769,0.02107728337236534,0.04066877541798464,0.07395502083928873,0.008820037315542489,2.3897045577373444
카트 수,1,2,카트 수 >= 2 / 1일,0.4142335766423358,0.0531615925058548,0.0942299709422997,0.07220832871872798,0.030983208005880024,1.7158195011880546
카트 수,1,3,카트 수 >= 3 / 1일,0.4225941422594142,0.023653395784543327,0.044799290308272344,0.049548927903949776,0.013512749477017019,1.750450256239405
카트 수,1,5,카트 수 >= 5 / 1일,0.5204081632653061,0.011943793911007026,0.023351648351648352,0.04866204734899955,0.005540792672584384,2.1556110500406254
세션 수,3,1,세션 수 >= 1 / 3일,0.2414202521626053,1.0,0.3889420230450426,0.0,1.0,1.0
세션 수,1,1,세션 수 >= 1 / 1일,0.2414202521626053,1.0,0.3889420230450426,0.0,1.0,1.0
카테고리 수,3,1,카테고리 수 >= 1 / 3일,0.2414202521626053,1.0,0.3889420230450426,0.0,1.0,1.0
활동일 수,3,1,활동일 수 >= 1 / 3일,0.2414202521626053,1.0,0.3889420230450426,0.0,1.0,1.0
카테고리 수,1,1,카테고리 수 >= 1 / 1일,0.2414202521626053,1.0,0.3889420230450426,0.0,1.0,1.0
활동일 수,1,1,활동일 수 >= 1 / 1일,0.2414202521626053,1.0,0.3889420230450426,0.0,1.0,1.0
